SEA GATE BEACH CLUB,OPEN,BROOKLYN,PRIVATE,40426409B
MANHEM CLUB,ADVISORY,BRONX,PRIVATE,40535233A
DANISH AMERICAN BEACH CLUB,ADVISORY,BRONX,PRIVATE,40426414A
LOCUST POINT YACHT CLUB,OPEN,BRONX,PRIVATE,41481445A
SCHUYLER HILL CIVIC ASSOCIATION,OPEN,BRONX,PRIVATE,40426416A
WHITESTONE BOOSTER CIVIC ASSOCIATION,OPEN,QUEENS,PRIVATE,41430136A
WOLFE'S POND BEACH,OPEN,STATEN ISLAND,PUBLIC,40426411A
MIDLAND BEACH,OPEN,STATEN ISLAND,PUBLIC,40426410B
SOUTH BEACH,OPEN,STATEN ISLAND,PUBLIC,40426410A
GERRITSEN/KIDDIE BEACH,OPEN,BROOKLYN,PRIVATE,40426415A
KINGSBOROUGH COMMUNITY COLLEGE,OPEN,BROOKLYN,PRIVATE,40524745A
SEA GATE 42ND,OPEN,BROOKLYN,PRIVATE,40426409A
MANHATTAN BEACH,OPEN,BROOKLYN,PUBLIC,40426403A
CONEY ISLAND BEACH,CLOSED FOR THE SEASON,BROOKLYN,PUBLIC,40426405A
ROCKAWAY BEACH,OPEN,QUEENS,PUBLIC,40426404A
BREEZY POINT Reid Ave,OPEN,QUEENS,PRIVATE,40784789B
BREEZY POINT 219,OPEN,QUEENS,PRIVATE,40784789A
CEDAR GROVE,OPEN,STATEN ISLAND,PUBLIC,41595046A
ORCHARD BEACH,CLOSED,BRONX,PUBLIC,40426406A
WEST FORDHAM STREET ASSOCIATION,OPEN,BRONX,PRIVATE,41501521A
MORRIS YACHT AND BEACH CLUB,OPEN,BRONX,PRIVATE,40537171A
DOUGLASTON MANOR ASSOCIATION,ADVISORY,QUEENS,PRIVATE,40426402A
TRINITY DANISH,ADVISORY,BRONX,PRIVATE,40426413A
WHITE CROSS FISHING CLUB,ADVISORY,BRONX,PRIVATE,40426407A
AMERICAN TURNER,CLOSED,BRONX,PRIVATE,40541934A
