AMERICAN  TURNER,5/23/2015,17,89
CEDAR GROVE,5/23/2015,12,41
CONEY ISLAND BEACH,5/23/2015,11,7
DANISH AMERICAN BEACH CLUB,5/23/2015,11,35
DOUGLASTON MANOR ASSOCIATION,5/23/2015,32,360
GERRITSEN/KIDDIE BEACH,5/23/2015,17,16
KINGSBOROUGH COMMUNITY COLLEGE,5/23/2015,10,8
LOCUST POINT YACHT CLUB,5/23/2015,13,31
MANHATTAN BEACH,5/23/2015,7,4
MANHEM CLUB,5/23/2015,9,23
MIDLAND BEACH,5/23/2015,8,23
MORRIS YACHT AND BEACH CLUB,5/23/2015,5,7
ORCHARD BEACH,5/23/2015,4,5
SCHUYLER HILL CIVIC ASSOCIATION,5/23/2015,8,47
SEA GATE 42ND,5/23/2015,6,4
SEA GATE BEACH CLUB,5/23/2015,9,4
SOUTH BEACH,5/23/2015,7,8
TRINITY DANISH,5/23/2015,10,53
WEST FORDHAM STREET ASSOCIATION,5/23/2015,9,4
WHITE CROSS FISHING CLUB,5/23/2015,23,94
WHITESTONE BOOSTER CIVIC  ASSOCIATION,5/23/2015,8,4
WOLFE'S POND BEACH,5/23/2015,12,12
AMERICAN  TURNER,5/30/2015,12,4
AMERICAN  TURNER,6/6/2015,25,1087
BREEZY POINT 219,5/30/2015,6,4
BREEZY POINT Reid Ave,5/30/2015,4,4
CEDAR GROVE,5/30/2015,6,4
CEDAR GROVE,6/6/2015,16,28
CONEY ISLAND BEACH,5/30/2015,5,4
CONEY ISLAND BEACH,6/6/2015,5,9
DANISH AMERICAN BEACH CLUB,5/30/2015,9,4
DANISH AMERICAN BEACH CLUB,6/6/2015,16,773
DOUGLASTON MANOR ASSOCIATION,5/30/2015,17,33
DOUGLASTON MANOR ASSOCIATION,6/6/2015,52,1467
GERRITSEN/KIDDIE BEACH,5/30/2015,11,4
GERRITSEN/KIDDIE BEACH,6/6/2015,18,69
KINGSBOROUGH COMMUNITY COLLEGE,5/30/2015,6,4
KINGSBOROUGH COMMUNITY COLLEGE,6/6/2015,10,121
LOCUST POINT YACHT CLUB,5/30/2015,7,8
LOCUST POINT YACHT CLUB,6/6/2015,13,264
MANHATTAN BEACH,5/30/2015,5,4
MANHATTAN BEACH,6/6/2015,5,8
MANHEM CLUB,5/30/2015,7,4
MANHEM CLUB,6/6/2015,16,967
MIDLAND BEACH,5/30/2015,5,4
MIDLAND BEACH,6/6/2015,9,9
MORRIS YACHT AND BEACH CLUB,5/30/2015,5,7
MORRIS YACHT AND BEACH CLUB,6/6/2015,9,103
ORCHARD BEACH,5/30/2015,4,4
ORCHARD BEACH,6/6/2015,4,4
ROCKAWAY BEACH,5/30/2015,4,4
SCHUYLER HILL CIVIC ASSOCIATION,5/30/2015,7,4
SCHUYLER HILL CIVIC ASSOCIATION,6/6/2015,12,53
SEA GATE 42ND,5/30/2015,4,4
SEA GATE 42ND,6/6/2015,5,11
SEA GATE BEACH CLUB,5/30/2015,4,4
SEA GATE BEACH CLUB,6/6/2015,7,40
SOUTH BEACH,5/30/2015,4,4
SOUTH BEACH,6/6/2015,9,8
TRINITY DANISH,5/30/2015,7,4
TRINITY DANISH,6/6/2015,19,873
WEST FORDHAM STREET ASSOCIATION,5/30/2015,4,4
WEST FORDHAM STREET ASSOCIATION,6/6/2015,6,47
WHITE CROSS FISHING CLUB,5/30/2015,27,29
WHITE CROSS FISHING CLUB,6/6/2015,36,1180
WHITESTONE BOOSTER CIVIC  ASSOCIATION,5/30/2015,4,4
WHITESTONE BOOSTER CIVIC  ASSOCIATION,6/6/2015,10,347
WOLFE'S POND BEACH,5/30/2015,5,4
WOLFE'S POND BEACH,6/6/2015,16,17
AMERICAN  TURNER,6/13/2015,30,16
BREEZY POINT 219,6/13/2015,5,4
BREEZY POINT Reid Ave,6/13/2015,4,4
CEDAR GROVE,6/13/2015,25,69
CONEY ISLAND BEACH,6/13/2015,6,16
DANISH AMERICAN BEACH CLUB,6/13/2015,26,41
DOUGLASTON MANOR ASSOCIATION,6/13/2015,80,40
GERRITSEN/KIDDIE BEACH,6/13/2015,13,8
KINGSBOROUGH COMMUNITY COLLEGE,6/13/2015,11,9
LOCUST POINT YACHT CLUB,6/13/2015,13,4
MANHATTAN BEACH,6/13/2015,6,21
MANHEM CLUB,6/13/2015,20,12
MIDLAND BEACH,6/13/2015,9,4
MORRIS YACHT AND BEACH CLUB,6/13/2015,10,11
ORCHARD BEACH,6/13/2015,4,4
ROCKAWAY BEACH,6/13/2015,4,4
SCHUYLER HILL CIVIC ASSOCIATION,6/13/2015,12,9
SEA GATE 42ND,6/13/2015,5,4
SEA GATE BEACH CLUB,6/13/2015,7,4
SOUTH BEACH,6/13/2015,9,4
TRINITY DANISH,6/13/2015,22,8
WEST FORDHAM STREET ASSOCIATION,6/13/2015,12,84
WHITE CROSS FISHING CLUB,6/13/2015,41,11
WHITESTONE BOOSTER CIVIC  ASSOCIATION,6/13/2015,10,5
WOLFE'S POND BEACH,6/13/2015,16,4
AMERICAN  TURNER,6/20/2015,64,200
CEDAR GROVE,6/20/2015,45,150
CONEY ISLAND BEACH,6/20/2015,6,45
DANISH AMERICAN BEACH CLUB,6/20/2015,46,70
DOUGLASTON MANOR ASSOCIATION,6/20/2015,140,105
GERRITSEN/KIDDIE BEACH,6/20/2015,19,89
KINGSBOROUGH COMMUNITY COLLEGE,6/20/2015,15,28
LOCUST POINT YACHT CLUB,6/20/2015,18,22
MANHATTAN BEACH,6/20/2015,7,12
MANHEM CLUB,6/20/2015,37,95
MIDLAND BEACH,6/20/2015,12,21
MORRIS YACHT AND BEACH CLUB,6/20/2015,12,8
ORCHARD BEACH,6/20/2015,5,23
ORCHARD BEACH,3/20/2016,6,21
SCHUYLER HILL CIVIC ASSOCIATION,6/20/2015,18,35
SEA GATE 42ND,6/20/2015,5,5
SEA GATE BEACH CLUB,6/20/2015,6,4
SOUTH BEACH,6/20/2015,13,37
TRINITY DANISH,6/20/2015,59,573
WEST FORDHAM STREET ASSOCIATION,6/20/2015,15,12
WHITE CROSS FISHING CLUB,6/20/2015,98,327
WHITESTONE BOOSTER CIVIC  ASSOCIATION,6/20/2015,14,23
WOLFE'S POND BEACH,6/20/2015,16,4
